player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,peak_dominator,birthdate,name_norm,player,team_name,yprr,grades_offense,grades_pass_route,drop_rate,contested_catch_rate,targets,routes,receptions,yards,dc_score
Juwann Winfree,WR,2019,187,6,Colorado,5,173.0,11.8,0,0,7.14,22.0,10.745391397274911,1996-09-04,juwann winfree,Juwann Winfree,COLORADO,2.76,66.9,66.3,4.5,50.0,27.0,116.0,21.0,320.0,40.917284913571535
Marcus Green,WR,2019,203,6,La-Monroe,5,999.0,0.0,0,0,7.22,19.0,22.093,1996-08-13,marcus green,Marcus Green,LA MONROE,2.84,71.4,71.9,13.8,18.2,82.0,300.0,50.0,851.0,37.70677743241549
Kelvin Harmon,WR,2019,206,6,North Carolina St.,5,94.0,66.5,0,0,4.88,21.0,28.894269572235675,1996-12-15,kelvin harmon,Kelvin Harmon,NC STATE,2.83,83.5,84.4,4.7,56.7,117.0,419.0,81.0,1186.0,37.115674968761425
Scott Miller,WR,2019,208,6,Bowling Green,5,67.0,121.0,0,0,7.76,19.0,35.155025470219435,1997-07-31,scott miller,Scott Miller,BOWL GREEN,3.06,82.7,83.9,6.7,37.5,107.0,372.0,70.0,1137.0,36.72342304569737
John Ursua,WR,2019,236,7,Hawaii,5,204.0,2.1,0,0,6.44,22.0,34.06275429354576,1994-01-17,john ursua,John Ursua,HAWAII,3.49,85.7,85.3,4.1,50.0,62.0,191.0,47.0,667.0,31.374110141410995
Terry Godwin,WR,2019,237,7,Georgia,5,194.0,6.5,0,0,5.26,19.0,10.304339745376824,1996-10-23,terry godwin,Terry Godwin II,GEORGIA,2.26,72.4,73.1,11.6,57.1,54.0,282.0,38.0,636.0,31.187666633411297
Dillon Mitchell,WR,2019,239,7,Oregon,5,999.0,0.0,0,0,7.96,19.0,35.49045452612781,1997-05-16,dillon mitchell,Dillon Mitchell,OREGON,2.9,80.8,82.5,9.6,27.8,130.0,408.0,75.0,1184.0,30.815673988275364
Olabisi Johnson,WR,2019,247,7,Colorado St.,5,86.0,82.7,0,0,,19.0,18.50752508361204,1996-12-27,olabisi johnson,Olabisi Johnson,COLO STATE,2.16,66.1,65.3,15.2,,49.0,284.0,28.0,613.0,29.339380105472458
Henry Ruggs III,WR,2020,12,1,Alabama,4,999.0,0.0,0,0,9.54,20.0,15.526763638698904,1999-01-24,henry ruggs,Henry Ruggs III,ALABAMA,2.46,70.4,68.7,14.3,66.7,16.0,93.0,12.0,229.0,91.19779246495472
Jerry Jeudy,WR,2020,15,1,Alabama,4,18.0,240.9,1,0,6.76,19.0,23.274434520942563,1999-04-24,jerry jeudy,Jerry Jeudy,ALABAMA,3.32,86.8,88.5,5.6,63.6,101.0,396.0,68.0,1313.0,89.53565074279604
CeeDee Lamb,WR,2020,17,1,Oklahoma,4,1.0,425.7000000000001,1,1,7.44,19.0,35.3786423310919,1999-04-08,ceedee lamb,CeeDee Lamb,OKLAHOMA,2.94,85.0,84.9,7.1,50.0,89.0,393.0,65.0,1156.0,88.49760662357517
Jalen Reagor,WR,2020,21,1,TCU,4,95.0,81.2,0,0,6.03,18.0,29.166666666666664,1999-01-02,jalen reagor,Jalen Reagor,TCU,2.56,79.4,79.3,6.6,50.0,131.0,406.0,71.0,1040.0,86.55153502322084
Justin Jefferson,WR,2020,22,1,LSU,4,1.0,379.0,1,1,9.69,19.0,27.53630287592798,1999-06-16,justin jefferson,Justin Jefferson,LSU,2.52,76.0,77.5,10.0,33.3,85.0,347.0,54.0,875.0,86.0877712199221
Brandon Aiyuk,WR,2020,25,1,Arizona St.,4,10.0,279.1,1,1,8.47,21.0,37.4711120924413,1998-03-17,brandon aiyuk,Brandon Aiyuk,ARIZONA ST,2.16,68.9,68.2,5.7,16.7,47.0,219.0,33.0,474.0,84.74230353324101
Tee Higgins,WR,2020,33,2,Clemson,4,10.0,280.0,1,1,4.12,19.0,29.741329479768787,1999-01-18,tee higgins,Tee Higgins,CLEMSON,3.71,74.9,75.4,15.0,45.5,33.0,93.0,17.0,345.0,81.42558366090017
Michael Pittman Jr.,WR,2020,34,2,USC,4,999.0,0.0,0,0,8.27,20.0,30.31909671084929,1997-10-05,michael pittman,Michael Pittman Jr.,USC,2.73,67.9,70.9,14.3,,8.0,30.0,6.0,82.0,81.03375665926983
Laviska Shenault Jr.,WR,2020,42,2,Colorado,4,47.0,157.1,0,0,6.97,19.0,24.477101314050227,1998-10-05,laviska shenault,Laviska Shenault Jr.,COLORADO,7.0,91.1,90.2,0.0,0.0,10.0,24.0,7.0,168.0,78.04288751567582
KJ Hamler,WR,2020,46,2,Penn St.,4,999.0,0.0,0,0,,19.0,31.710809871393813,1999-07-08,kj hamler,KJ Hamler,PENN STATE,1.99,71.1,72.3,8.7,33.3,74.0,379.0,42.0,755.0,76.62960369267617
Chase Claypool,WR,2020,49,2,Notre Dame,4,17.0,237.8,1,0,9.98,21.0,33.38513925762248,1998-07-07,chase claypool,Chase Claypool,NOTRE DAME,2.09,63.9,62.8,14.3,,9.0,43.0,6.0,90.0,75.60012235068056
Van Jefferson,WR,2020,57,2,Florida,4,37.0,188.9,0,0,,,17.49244361776331,1996-07-26,van jefferson,Van Jefferson,OLE MISS,1.68,60.0,61.0,6.8,37.5,54.0,269.0,41.0,453.0,72.96570404937304
Denzel Mims,WR,2020,59,2,Baylor,4,108.0,60.7,0,0,9.77,19.0,39.28171380565668,1997-10-10,denzel mims,Denzel Mims,BAYLOR,2.26,76.0,76.2,7.6,30.8,112.0,482.0,61.0,1087.0,72.3295803529313
Lynn Bowden Jr.,WR,2020,80,3,Kentucky,4,999.0,0.0,0,0,,20.0,17.328221320102237,1997-10-14,lynn bowden,Lynn Bowden Jr.,KENTUCKY,2.39,77.2,79.5,5.6,50.0,86.0,312.0,67.0,745.0,66.0815727265999
Bryan Edwards,WR,2020,81,3,South Carolina,4,63.0,116.2,0,0,,18.0,40.29808773903262,1998-11-13,bryan edwards,Bryan Edwards,S CAROLINA,2.17,72.9,73.1,11.3,45.0,87.0,386.0,55.0,837.0,65.80076958583709
Devin Duvernay,WR,2020,92,3,Texas,4,67.0,110.1,0,0,7.86,21.0,32.488450545067806,1997-09-12,devin duvernay,Devin Duvernay,TEXAS,2.53,69.1,70.7,4.8,,31.0,163.0,20.0,412.0,62.79411750331776
Joe Reed,WR,2020,151,5,Virginia,4,184.0,8.9,0,0,9.35,20.0,24.27555565867013,1998-01-04,joe reed,Joe Reed,VIRGINIA,2.75,65.9,65.7,0.0,,6.0,28.0,4.0,77.0,48.551086004790726
Tyler Johnson,WR,2020,161,5,Minnesota,4,91.0,81.5,0,0,,18.0,40.97988891392298,1998-08-25,tyler johnson,Tyler Johnson,MINNESOTA,3.35,89.6,90.7,11.4,55.2,126.0,347.0,78.0,1161.0,46.36707616249658
Collin Johnson,WR,2020,165,5,Texas,4,110.0,59.2,0,0,,20.0,12.119034166445095,1997-09-23,collin johnson,Collin Johnson,TEXAS,2.03,81.6,80.5,2.9,60.0,103.0,485.0,68.0,985.0,45.50798876586117
Quintez Cephus,WR,2020,166,5,Wisconsin,4,102.0,66.9,0,0,4.5,19.0,35.52224601475137,1998-04-01,quintez cephus,Quintez Cephus,WISCONSIN,3.34,82.8,89.2,3.2,54.5,39.0,150.0,30.0,501.0,45.29445820618241
John Hightower,WR,2020,168,5,Boise St.,4,145.0,28.8,0,0,8.02,23.0,25.771675588111,1996-05-31,john hightower,John Hightower,BOISE ST,3.82,86.9,85.3,8.8,11.1,46.0,132.0,31.0,504.0,44.86885780479906
Darnell Mooney,WR,2020,173,5,Tulane,4,25.0,219.7,0,0,7.04,19.0,26.46509891750653,1997-10-29,darnell mooney,Darnell Mooney,TULANE,2.96,71.9,73.1,14.3,62.5,83.0,335.0,48.0,991.0,43.81319351407827
K.J. Osborn,WR,2020,176,5,Miami (FL),4,41.0,165.6,0,0,8.0,,17.703223445736565,1997-06-10,kj osborn,K.J. Osborn,BUFFALO,2.24,72.7,74.4,10.2,13.6,107.0,399.0,53.0,892.0,43.185359664653696
Donovan Peoples-Jones,WR,2020,187,6,Michigan,4,43.0,161.1,0,0,9.63,19.0,18.71573137074517,1999-02-19,donovan peoplesjones,Donovan Peoples-Jones,MICHIGAN,2.07,78.2,78.9,2.1,36.4,70.0,296.0,47.0,612.0,40.917284913571535
Quez Watkins,WR,2020,200,6,Southern Miss,4,60.0,121.5,0,0,7.4,20.0,31.9,1998-06-09,quez watkins,Quez Watkins,SO MISS,2.29,80.2,80.7,5.3,42.1,107.0,389.0,72.0,889.0,38.301208870560295
James Proche,WR,2020,201,6,SMU,4,133.0,36.2,0,0,4.04,21.0,36.67247386759582,1996-09-20,james proche,James Proche II,SMU,2.66,77.5,79.4,1.7,,90.0,271.0,59.0,721.0,38.10269095611306
Isaiah Hodgins,WR,2020,207,6,Oregon St.,4,56.0,126.0,0,0,7.56,19.0,40.79440270064249,1998-10-21,isaiah hodgins,Isaiah Hodgins,OREGON ST,2.23,84.6,85.1,3.3,76.2,80.0,392.0,59.0,876.0,36.919368987448195
Dezmon Patmon,WR,2020,212,6,Washington St.,4,178.0,10.1,0,0,8.46,20.0,14.708927628103542,1998-08-06,dezmon patmon,Dezmon Patmon,WASH STATE,2.23,77.2,76.9,7.6,87.5,78.0,366.0,61.0,816.0,35.94319234776309
Freddie Swain,WR,2020,214,6,Florida,4,85.0,86.5,0,0,8.29,,17.21731380299155,1998-08-04,freddie swain,Freddie Swain,FLORIDA,2.32,72.6,75.0,0.0,0.0,22.0,114.0,14.0,265.0,35.55517645503487
Jauan Jennings,WR,2020,217,7,Tennessee,4,28.0,210.5,0,0,2.7,22.0,37.88723894517391,1997-07-10,jauan jennings,Jauan Jennings,TENNESSEE,2.14,73.3,72.7,11.8,66.7,44.0,205.0,30.0,438.0,34.97572633033664
K.J. Hill,WR,2020,220,7,Ohio St.,4,168.0,14.3,0,0,3.89,20.0,19.0485884907709,1997-09-15,kj hill,K.J. Hill,OHIO STATE,2.73,80.5,81.7,6.7,33.3,98.0,324.0,70.0,885.0,34.399312454218645
Tyrie Cleveland,WR,2020,252,7,Florida,4,171.0,12.3,0,0,9.65,19.0,6.003642563744865,1997-09-20,tyrie cleveland,Tyrie Cleveland,FLORIDA,2.08,68.0,69.4,4.3,57.1,36.0,197.0,22.0,410.0,28.42591925759298
Ja'Marr Chase,WR,2021,5,1,LSU,3,1.0,403.0,1,1,9.82,19.0,31.167679010733025,2000-03-01,jamarr chase,Ja'Marr Chase,LSU,1.89,69.4,68.6,14.8,50.0,36.0,166.0,23.0,313.0,95.89012507645334
Jaylen Waddle,WR,2021,6,1,Alabama,3,11.0,267.40000000000003,1,1,,19.0,11.108554246440844,1998-11-25,jaylen waddle,Jaylen Waddle,ALABAMA,3.58,89.7,89.7,4.3,57.1,60.0,237.0,45.0,848.0,95.11104923064929
DeVonta Smith,WR,2021,10,1,Alabama,3,8.0,295.3,1,1,,20.0,47.31222385861562,1998-11-14,devonta smith,DeVonta Smith,ALABAMA,2.18,75.0,74.9,2.3,30.0,58.0,316.0,42.0,690.0,92.39513479671196
Kadarius Toney,WR,2021,20,1,Florida,3,90.0,81.6,0,0,8.99,21.0,21.699413335375013,1999-01-27,kadarius toney,Kadarius Toney,FLORIDA,2.34,76.8,69.0,0.0,50.0,20.0,65.0,15.0,152.0,87.02377097693456
Rashod Bateman,WR,2021,27,1,Minnesota,3,31.0,201.6,0,0,8.04,18.0,31.21541299446608,1999-11-29,rashod bateman,Rashod Bateman,MINNESOTA,2.06,69.5,69.1,13.6,35.7,96.0,341.0,51.0,704.0,83.87932650686992
Elijah Moore,WR,2021,34,2,Mississippi,3,54.0,138.2,0,0,8.69,19.0,30.62318840579709,2000-03-27,elijah moore,Elijah Moore,OLE MISS,1.74,71.0,71.2,5.1,33.3,50.0,234.0,37.0,407.0,81.03375665926983
Rondale Moore,WR,2021,49,2,Purdue,3,62.0,119.3,0,0,9.33,18.0,7.281553398058252,2000-06-09,rondale moore,Rondale Moore,PURDUE,2.64,88.8,89.7,5.8,36.4,154.0,477.0,114.0,1258.0,75.60012235068056
D'Wayne Eskridge,WR,2021,56,2,Western Michigan,3,147.0,28.3,0,0,6.71,20.0,44.75743348982786,1997-03-19,dwayne eskridge,D'Wayne Eskridge,W MICHIGAN,3.83,72.6,72.0,5.6,,19.0,30.0,17.0,115.0,73.28694247866397
Tutu Atwell,WR,2021,57,2,Louisville,3,59.0,121.2,0,0,6.25,19.0,29.147409616101378,1999-10-07,tutu atwell,Tutu Atwell,LOUISVILLE,1.17,56.9,58.3,17.2,40.0,49.0,346.0,24.0,406.0,72.96570404937304
Terrace Marshall Jr.,WR,2021,59,2,LSU,3,140.0,32.900000000000006,0,0,,20.0,32.76607900750898,2000-06-09,terrace marshall,Terrace Marshall Jr.,LSU,1.48,61.2,61.3,14.3,55.6,21.0,130.0,12.0,192.0,72.3295803529313
Dyami Brown,WR,2021,82,3,North Carolina,3,76.0,108.3,0,0,8.38,19.0,27.96296462278949,1999-11-01,dyami brown,Dyami Brown,N CAROLINA,0.92,58.7,58.5,5.6,66.7,32.0,188.0,17.0,173.0,65.52128074753156
Amari Rodgers,WR,2021,85,3,Clemson,3,123.0,43.1,0,0,5.35,20.0,23.48544453186468,1999-09-23,amari rodgers,Amari Rodgers,CLEMSON,1.89,70.1,68.9,6.8,37.5,71.0,304.0,55.0,575.0,64.69048249230454
Nico Collins,WR,2021,89,3,Michigan,3,6.0,294.2,1,1,9.57,19.0,25.177552897884087,1999-03-19,nico collins,Nico Collins,MICHIGAN,2.16,73.0,71.9,0.0,81.3,55.0,293.0,38.0,633.0,63.59988204942709
Anthony Schwartz,WR,2021,91,3,Auburn,3,138.0,33.4,0,0,6.89,19.0,25.95439537763104,2000-09-05,anthony schwartz,Anthony Schwartz,AUBURN,1.91,65.3,60.3,15.4,0.0,36.0,186.0,22.0,355.0,63.061580711070775
Dez Fitzpatrick,WR,2021,109,4,Louisville,3,163.0,15.9,0,0,,19.0,23.02366753633992,1997-12-17,dez fitzpatrick,Dez Fitzpatrick,LOUISVILLE,1.95,71.4,71.0,15.1,37.5,73.0,358.0,45.0,699.0,58.40374906189059
Amon-Ra St. Brown,WR,2021,112,4,USC,3,2.0,386.5,1,1,7.13,18.0,33.06213926071472,1999-10-24,amonra st brown,Amon-Ra St. Brown,USC,2.65,75.0,75.8,6.3,33.3,86.0,283.0,60.0,750.0,57.65686444404836
Jaelon Darden,WR,2021,129,4,North Texas,3,174.0,11.4,0,0,7.14,20.0,54.95330641090359,1999-01-14,jaelon darden,Jaelon Darden,N TEXAS,2.14,76.0,76.9,5.9,50.0,58.0,269.0,48.0,575.0,53.55986428245593
Tylan Wallace,WR,2021,131,4,Oklahoma St.,3,119.0,43.1,0,0,4.71,20.0,34.10012674271229,1999-05-13,tylan wallace,Tylan Wallace,OKLA STATE,3.19,77.1,74.1,12.5,33.3,12.0,37.0,7.0,118.0,53.091766375709646
Jacob Harris,WR,2021,141,4,Central Florida,3,213.0,1.6,0,0,9.88,23.0,20.15407554671968,1997-04-16,jacob harris,Jacob Harris,UCF,0.0,51.9,57.3,,0.0,2.0,2.0,0.0,0.0,50.79080422061093
Ihmir Smith-Marsette,WR,2021,157,5,Iowa,3,146.0,28.6,0,0,6.81,19.0,33.13303816150116,1999-08-29,ihmir smithmarsette,Ihmir Smith-Marsette,IOWA,1.58,61.9,61.3,14.8,25.0,52.0,211.0,23.0,334.0,47.23431360755732
Simi Fehoko,WR,2021,179,5,Stanford,3,148.0,16.6,0,0,9.18,21.0,38.346300281410365,1997-11-05,simi fehoko,Simi Fehoko,STANFORD,0.16,51.7,50.3,0.0,0.0,3.0,37.0,1.0,6.0,42.56157955714502
Cornell Powell,WR,2021,181,5,Clemson,3,999.0,0.0,0,0,7.57,22.0,21.83551626787615,1997-10-30,cornell powell,Cornell Powell,CLEMSON,2.03,57.6,57.0,16.7,,7.0,31.0,5.0,63.0,42.147931921338625
Frank Darby,WR,2021,187,6,Arizona St.,3,207.0,2.5,0,0,5.89,21.0,12.96010296010296,1997-09-08,frank darby,Frank Darby,ARIZONA ST,3.3,71.5,68.9,10.0,60.0,15.0,71.0,9.0,234.0,40.917284913571535
Marquez Stevenson,WR,2021,203,6,Houston,3,999.0,0.0,0,0,5.37,20.0,20.55346503606146,1998-03-26,marquez stevenson,Marquez Stevenson,HOUSTON,2.6,76.5,77.3,11.9,15.4,115.0,387.0,74.0,1008.0,37.70677743241549
Shi Smith,WR,2021,204,6,South Carolina,3,106.0,61.6,0,0,6.78,21.0,41.74757281553399,1998-10-26,shi smith,Shi Smith,S CAROLINA,1.83,69.5,71.3,8.2,66.7,62.0,368.0,45.0,673.0,37.50937673477087
Racey McMath,WR,2021,205,6,LSU,3,183.0,6.4,0,0,7.43,,5.266487104146261,1999-06-14,racey mcmath,Racey McMath,LSU,2.21,60.5,66.6,0.0,,2.0,19.0,2.0,42.0,37.312343403797485
Jalen Camp,WR,2021,209,6,Georgia Tech,3,210.0,1.7000000000000002,0,0,9.75,22.0,24.24506387921022,1998-07-10,jalen camp,Jalen Camp,GA TECH,1.98,69.0,66.8,8.3,37.5,30.0,94.0,11.0,186.0,36.527834756947215
Seth Williams,WR,2021,219,6,Auburn,3,202.0,4.4,0,0,6.86,18.0,32.01953501169349,2000-04-10,seth williams,Seth Williams,AUBURN,1.74,72.3,71.6,10.3,35.0,47.0,307.0,26.0,535.0,34.591116608286086
Dazz Newsome,WR,2021,221,6,North Carolina,3,204.0,4.3,0,0,2.13,20.0,19.18005897695597,1999-05-15,dazz newsome,Dazz Newsome,N CAROLINA,2.25,73.3,72.6,10.0,0.0,29.0,101.0,18.0,227.0,34.207839313634366
Tre Nixon,WR,2021,242,7,Central Florida,3,999.0,0.0,0,0,8.97,20.0,6.788731894348196,1998-01-26,tre nixon,Tre Nixon,UCF,1.43,61.5,60.2,9.1,12.5,77.0,398.0,40.0,568.0,30.25989524574358
Ben Skowronek,WR,2021,249,7,Notre Dame,3,88.0,84.30000000000001,0,0,,23.0,24.37112437112437,1997-06-27,ben skowronek,Ben Skowronek,NWESTERN,1.57,66.5,66.2,10.0,50.0,75.0,411.0,45.0,645.0,28.97316023447314
Kawaan Baker,WR,2021,255,7,South Alabama,3,999.0,0.0,0,0,9.08,19.0,34.28991905813098,1998-08-24,kawaan baker,Kawaan Baker,S ALABAMA,1.82,63.1,62.6,30.0,,12.0,56.0,7.0,102.0,27.881148372763306
