rank,player_name,draft_year,pick,college,slap_score,dc_score,breakout_score,ras_score,delta_vs_dc,breakout_status,ras_status,breakout_age_raw,ras_raw,best_ppr,hit24,hit12
176,Malcolm Perry,2020,246,Navy,11.311243126088009,0.210767775113679,78.07291666666667,66.49597701149425,11.10047535097433,imputed,imputed,,,24.7,0,0
177,DeWayne McBride,2023,222,Ala-Birmingham,11.30817058824804,0.568672632556854,75.0,66.49597701149425,10.739497955691185,observed,imputed,20.0,,0.0,0,0
178,Kylin Hill,2021,256,Mississippi St.,11.262502892312197,0.07671908899473993,78.07291666666667,67.8,11.185783803317458,imputed,observed,,7.28,3.9,0,0
179,Matthew Dayes,2017,252,North Carolina St.,11.242063856463083,0.12938039908435764,78.07291666666667,66.49597701149425,11.112683457378726,imputed,imputed,,,0.0,0,0
180,Tyler Allgeier,2022,151,BYU,11.225580064980393,2.088917723506345,60.0,69.0,9.136662341474048,observed,observed,21.0,7.4,159.4,0,0
181,Bucky Irving,2024,125,Oregon,11.173435325127718,2.948404304071824,78.07291666666667,17.200000000000003,8.225031021055894,imputed,observed,,2.22,260.70000000000005,1,1
182,De'Angelo Henderson,2017,203,Coastal Carolina,11.14885406537694,0.8959557631885556,78.07291666666667,51.6,10.252898302188385,imputed,observed,,5.66,0.0,0,0
183,Brian Robinson Jr.,2022,98,Alabama,11.094581894173228,4.181861051968502,45.0,60.8,6.912720842204726,observed,observed,22.0,6.58,0.0,0,0
184,John Kelly,2018,176,Tennessee,11.004197604630955,1.4493011034873966,78.07291666666667,39.3,9.554896501143558,imputed,observed,,4.43,12.1,0,0
185,Trayveon Williams,2019,182,Texas A&M,10.975688082261389,1.3157604889349657,78.07291666666667,41.0,9.659927593326422,imputed,observed,,4.6,21.700000000000003,0,0
186,Keenan Reynolds,2016,182,Navy,10.950688082261388,1.3157604889349657,78.07291666666667,40.5,9.634927593326422,imputed,observed,,4.55,0.0,0,0
187,Eno Benjamin,2020,222,Arizona St.,10.920663404339994,0.568672632556854,78.07291666666667,52.599999999999994,10.35199077178314,imputed,observed,,5.76,89.60000000000001,0,0
188,Khalil Herbert,2021,217,Virginia Tech,10.873024407750439,0.6506169502946338,75.0,56.4,10.222407457455805,observed,observed,20.0,6.14,117.8,0,0
189,Jerome Ford,2022,156,Cincinnati,10.861465798161856,1.9487832919551238,60.0,64.1,8.912682506206732,observed,observed,21.0,6.91,220.4,1,0
190,Myles Gaskin,2019,234,Washington,10.847701867605691,0.38283553051649805,78.07291666666667,54.3,10.464866337089193,imputed,observed,,5.93,173.6,0,0
191,Gary Brightwell,2021,196,Arizona,10.716405642544144,1.0283693833852658,78.07291666666667,40.7,9.688036259158878,imputed,observed,,4.57,30.0,0,0
192,Trestan Ebner,2022,203,Baylor,10.70385406537694,0.8959557631885556,78.07291666666667,42.699999999999996,9.807898302188384,imputed,observed,,4.77,8.200000000000001,0,0
193,Chase Brown,2023,163,Illinois,10.654005134025418,1.763535451794608,45.0,93.10000000000001,8.89046968223081,observed,observed,22.0,9.81,255.0,1,1
194,Elijah Hood,2017,242,North Carolina,10.628986317148504,0.2666995888021587,78.07291666666667,51.900000000000006,10.362286728346346,imputed,observed,,5.69,0.0,0,0
195,Jawhar Jordan,2024,205,Louisville,10.587760136133797,0.8593746699613276,78.07291666666667,41.0,9.728385466172469,imputed,observed,,4.6,0.0,0,0
196,Tyrone Tracy Jr.,2024,166,Purdue,10.574591276205531,1.6877544425947417,45.0,92.8,8.88683683361079,observed,observed,22.0,9.78,0.0,0,0
197,Rhamondre Stevenson,2021,120,Oklahoma,10.413238592448653,3.144986579351357,60.0,34.8,7.268252013097296,observed,observed,21.0,3.98,249.1,1,1
198,Alex Collins,2016,171,Arkansas,10.368317648798675,1.5659129201553017,78.07291666666667,24.6,8.802404728643372,imputed,observed,,2.96,171.0,1,0
199,David Williams,2018,226,Arkansas,10.366613622892086,0.5050846543828454,78.07291666666667,42.599999999999994,9.86152896850924,imputed,observed,,4.76,0.0,0,0
200,Brittain Brown,2022,250,UCLA,10.065047856416804,0.15618375264721865,78.07291666666667,42.5,9.908864103769586,imputed,observed,,4.75,0.0,0,0
201,Kenny McIntosh,2023,237,Georgia,9.88509819709153,0.33859591814689466,78.07291666666667,35.8,9.546502278944635,imputed,observed,,4.08,22.4,0,0
202,Kelvin Taylor,2016,211,Florida,9.527145769829266,0.7527695331324677,78.07291666666667,21.6,8.7743762366968,imputed,observed,,2.66,0.0,0,0
203,Larry Rountree,2021,198,Missouri,9.403639750983617,0.989821275667,78.07291666666667,15.099999999999994,8.413818475316617,imputed,observed,,2.01,15.6,0,0
204,Josh Robinson,2015,205,Mississippi St.,8.837760136133795,0.8593746699613276,78.07291666666667,5.999999999999993,7.978385466172467,imputed,observed,,1.1,11.2,0,0
205,Ray Davis,2024,128,Kentucky,8.735419504729023,2.836024299005071,30.0,66.49597701149425,5.899395205723952,observed,imputed,23.0,,125.7,0,0
206,Jermar Jefferson,2021,257,Oregon St.,8.72147596996483,0.06374623917430891,78.07291666666667,17.200000000000003,8.657729730790521,imputed,observed,,2.22,25.700000000000003,0,0
207,Kenny Hilliard,2015,235,LSU,8.32508733096865,0.36799489917880224,78.07291666666667,4.100000000000001,7.957092431789848,imputed,observed,,0.91,0.0,0,0
208,Marcus Murphy,2015,230,Missouri,8.053980038534434,0.44316279043266693,78.07291666666667,-2.6000000000000014,7.610817248101767,imputed,observed,,0.24,38.6,0,0
